@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
4,'cada uno leer , y investigar , que respuesta ir en cada incito , ser más si querer hacer hoja nuevo y anotar el más breve que poder ahí su respuesta . ',2,3,4,4,8,2,4,0,1,4,0,0
4,'después cuando estar todo lo mermemos , y si nos desenconáramos lo hacer mediante comentario para saber qué opinar el otro . ',0,1,1,1,6,6,3,0,2,2,0,0
4,'de ese manera todo estar hacendar uno poco de cada incito , y cooperar para cada resultado . ',0,0,4,3,3,2,1,0,3,2,0,0
3,'buen , nos ver el 2 y 3 ',0,0,1,1,1,1,1,0,0,1,2,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,'a el 2 ',0,0,1,0,0,0,0,0,1,0,1,0
6,'abajo no te aparecer quién estar conectar , te aparecer quien ya leer el último que se escribir ',1,3,1,0,6,6,0,0,0,1,0,0
6,'a el trabajo anterior ',1,0,1,1,0,0,0,0,1,0,0,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,'bueno yo seguir mañana ',0,1,0,0,1,1,0,1,0,0,0,0
4,'bueno , ir mirar el otro 2 , y todo lo que encontrar de el 3 genial . ',1,0,3,0,3,3,1,1,1,3,2,0
1,'nos ver mañana ',0,1,0,0,1,1,0,0,0,0,0,0
3,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
1,'che , muy útil el linos de dieno ',1,1,1,2,0,0,0,1,1,1,0,0
3,'claro algo así ',0,1,0,1,0,1,0,0,0,0,0,0
6,'como hoy poné le tipo [??:??/??/??:7.30:??] ',0,1,0,1,1,1,1,0,0,0,0,1
