@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute message string

@data
4,'Cada uno lea, e investigue, que respuesta iría en cada incizo, es más si quieren hagan hojas nuevas y anoten lo más breve que puedan ahí sus respuestas.'
4,'Después cuando estemos todos lo mergeamos, y si nos desencontramos lo hacemos mediante comentarios para saber qué opina el otro.'
4,'De esa manera todos estamos haciendo un poco de cada incizo, y cooperamos para cada resultado.'
3,'bue, nos vemos el 2 y 3'
3,buenisimo
1,'a los dos'
6,'Abajo no te aparece quién está conectado, te aparecen quienes ya leyeron lo último que se escribió'
6,'al trabajo anterior'
3,buenisimo
3,buenisimo
1,'bueno yo sigo mañana'
4,'bueno, vayamos mirando los otros 2, y todo lo que encontremos del 3 genial.'
1,'Nos vemos mañana'
3,bueno
1,'che, muy util los links de diego'
3,'claro algo asi'
6,'como hoy ponele tipo 7 y media'
3,Cool
3,'dale dale, nos vemoss'
3,'dale dale'
3,'dale. saludos'
3,dale
3,dale
1,'Disculpen la tardanza.'
6,'Estoy volviendo de la facu.'
6,'Me hicieron esperar más de costumbre Jaja'
1,'disculpen q estuve desaparecido, es q tengo q reentregar el compilador en un rato ?'
6,'el mail no, ya lo tienen, los integrantes ya los puse'
6,'El Razonamiento Basado en Casos, es un paradigma de resolución de problemas con acercamientos de la inteligencia artificia.'
5,'eso entiendo yo'
6,'esta el 3 y despues el dos'
2,'estan caratureandolo'
6,'estan los dominios de aplicacion en dibujitos'
7,'este seria el anteultimo trabajo no?'
7,'estoy buscando pero no encuentro una buena explicacion para las que dijo mateo. de donde las sacaste ?(mineria de datos y procesamiento de lenguaje )'
6,fin.
3,genia-
3,genial
1,'hay cosas que siempre las digo en inglés, porque se pierden en las traducciones, mala mía (sigo enfermo y cansado jaja)'
1,'Hey, chicos, sorry que cuelgue, ando con fiebre y anginas, pero vengo trabajando al palo igual, así que no se preocupen <3.'
2,'Qué calorete eh'
1,'hola gente, disculpen la tardansa'
2,'jaj por ahora no me enojé, he trabajado con gente que aparecía cada 30 minutos a decir: \"esto no me gusta\", \"está todo mal\", \"no vamos a entregar así\", \"así no\"'
1,'jaja perdon como q reicen entro estoy medio perdido'
6,'José la agregó, pero porque le dijimos que estaba linda'
3,joya
6,'la diferencia es q la otra vez lo hicimos por el chat del drive y ahora nos piden q lo hagamos por ak'
6,'La idea de CBR es, al recibir un problema, es buscar soluciones a problemas similares y brindar tal como respuesta'
3,'listo nos vemos'
3,'listo, nos vemos'
4,'Machine learning es un mundo gigante chicos, traten de recordar lo que hicieron en el trabajo pasado y van a ver que están generalizando mal'
1,'me arrepentí'
3,'me fijo, no te aseguro que quede bien ?'
1,'me fui, adio!'
1,'me fui'
1,'me fui'
1,'No dije nada'
1,'no me sonaba en español, perdón'
6,'No se por qué te mareás en decir \"LE PASA LA MISMA BASE DE DATOS MAS ESO\", osea, estamos en una definición'
5,'no todo lo que hay en internet tiene que ser cierto o reflejar lo que nosotros aprendimos debatiendo'
6,'no, no podés porque es algo de cada uno, a menos que seas un hacker (?, además te están leyendo todo'
1,'nos vemos saludos'
1,'nos vemos'
1,'perdon recien llego'
1,'perdon, no pobre, pero hay q agregar'
1,Perdon!
1,perdon
1,perdon
3,perfecto
6,'pero si estas usando razonamiento basado en casos la base de datos ya clasifica con que se corresponde cada hecho, entonces cuano quieras consultar un caso nuevo ya vas a tener la relacion en la base de datos'
6,'por ahora no!'
6,'por lo que entendi es como que el RBC abstrae los problemas resueltos para ver si son compatibles con el que necesita resolver, puede ser?'
5,'porque por hay parte de una solucion, deduce las nuevas, y es como una definicion recursiva despues'
1,'si como que busca entre las soluciones viejas, una que sirva o sea parecida para solucionar una nueva..y esa nueva la guarda en la base para que sirva a otras'
1,'Si está activa significa que está en la ventana, si está media opaca que ya leyó'
1,'si pq podes unficarlo con una sola variable, y el resto puede ser que se instancie con los valores que estan guardados en la base'
1,'si te enseño un par, y te cambio los números vas a ver algo similar en las que ya hiciste'
1,'si yo lei esos y uno mas'
6,'sin los parentesis ya no sabes de que habla'
6,'solamente avisaron del nuevo grupo.'
5,'tiene que arrancar sabiendo'
6,'y retain es cuando guardamos esta nueva solucion'
6,'yo en 10 me tengo que ir..'
6,'yo me voy a dormri mañana trabajo'
8,'?'
6,'chicos yo estoy igual que renzo, rindo con el jaj..hasta las 5 no creo que llegue'
10,'Diego no hagas eso'
10,'está mal el segundo párrafo, hay un montón de cosas implícitas que en el contexto ese no se notan'
6,'Estoy rindiendo un final a esa hora'
12,'Gracias por copypastearme la definición de una palabra que ya sabía, no era necesario'
6,'hay redundancia'
6,'Jaja no nos sirve java'
6,'justo en ese horario no puedo doy clases..'
7,'leiste lo que pusieron??'
1,'q participemos todos es mas facil si estamos todos y lo terminamos de una'
6,'mas tarde puedo, pero pensaba estudiar, mañana tengo un final'
10,'me gustaba mas antes'
10,naa
10,'nadie se quedó de brazos cruzados.'
