@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
4,'cada uno leer , y investigar , que respuesta ir � a en cada incito , ser metro � segundo si querer hacer hoja nuevo y anotar el metro � segundo breve que poder ah � su respuesta . ',2,0,4,8,8,2,4,1,2,8,0,0
4,'vespa � segundo cuando estar todo lo mermemos , y si nos desenconáramos lo hacer mediante comentario para saber qué � opinar el otro . ',0,0,1,4,6,5,3,0,2,4,0,0
4,'de ese manera todo estar hacendar uno poco de cada incito , y cooperar para cada resultado . ',0,0,4,3,3,2,1,0,3,2,0,0
3,'buen , nos ver el 2 y 3 ',0,0,1,1,1,1,1,0,0,1,2,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,'a el 2 ',0,0,1,0,0,0,0,0,1,0,1,0
6,'abajo no te aparecer que � n esta � conectar , te aparecer quien ya leer el � limo que se escribid � ',0,3,1,4,5,5,0,0,0,5,0,0
6,'a el trabajo anterior ',1,0,1,1,0,0,0,0,1,0,0,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
3,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,'bueno yo seguir m � ana ',0,0,0,2,1,1,0,1,0,1,0,0
4,'bueno , ir mirar el otro 2 , y todo lo que encontrar de el 3 genial . ',1,0,3,0,3,3,1,1,1,3,2,0
1,'nos ver m � ana ',0,0,0,2,1,1,0,0,0,1,0,0
3,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
1,'che , muy útil el linos de dieno ',1,1,1,2,0,0,0,1,1,1,0,0
3,'claro algo así ',0,1,0,1,0,1,0,0,0,0,0,0
6,'como hoy poned tipo [??:??/??/??:7.30:??] ',0,1,0,1,1,0,1,0,0,0,0,1
3,'pool ',0,0,0,1,0,0,0,0,0,0,0,0
3,'da le da le , nos vemos ',0,0,0,1,2,3,0,0,0,1,0,0
3,'da le da le ',0,0,0,0,2,2,0,0,0,0,0,0
3,'da le . saludo ',0,0,0,1,1,1,0,0,0,1,0,0
3,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
3,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
1,'disculpar el tardanza . ',0,0,1,1,1,0,0,0,0,1,0,0
6,'estar volver de el faca . ',0,0,1,1,2,0,0,0,1,1,0,0
6,'me hacer esperar metro � segundo de costumbre faja ',0,0,0,4,2,1,0,0,1,1,0,0
1,'disculpar q estar desaparecer , ser q tener q reentrega el compilador en uno rato ? ',0,0,2,2,6,2,1,0,1,2,0,0
6,'el mal no , ya lo tener , el integrante ya lo poner ',0,3,2,2,2,2,0,0,0,2,0,0
6,'el razonamiento_pasado en vasos , ser uno paradigma de resolución � n de problema con acercamiento de el inteligencia artificial . ',0,0,3,8,2,0,0,0,5,3,0,0
5,'ese entender yo ',0,0,0,0,1,2,0,0,0,0,0,0
6,'este el 3 y después el 2 ',0,1,3,0,0,0,1,0,0,0,2,0
2,'esta car_ature_ando_lo ',0,0,0,1,1,0,0,0,0,0,0,0
6,'esta el dominio de aplicación en dibujados ',0,0,1,3,1,0,0,0,2,0,0,0
7,'este serio el ante_ultimo trabajo no ? ',1,2,2,1,0,0,0,0,0,1,0,0
7,'estar buscar pero no encontrar uno bueno explicación para el que decir matear . de donde lo sacar ? ( minerva de dato y procesamiento de lenguaje ) ',1,1,2,5,6,3,2,0,4,4,0,0
6,'fin . ',0,0,0,1,0,0,0,0,0,1,0,0
3,'genial - ',0,0,0,1,0,0,0,0,0,1,0,0
3,'genial ',1,0,0,0,0,0,0,0,0,0,0,0
1,'haber cosa que siempre lo decir en ingle � segundo , porque se perder en el traducción , malo metro � a ( seguir enfermo y cansar jajay ) ',1,1,1,6,5,3,2,1,3,6,0,0
1,'bey , chico , sorra que colgar , andar con fiebre y angina , pero vengar trabajar a el palo igual , as � que no se preocupar < 3 . ',1,1,1,7,5,2,3,0,2,8,1,0
2,'fu � colorete eh ',0,0,0,2,0,0,0,1,0,1,0,0
1,'hola gente , disculpar el tardanza ',0,0,1,2,1,0,0,1,0,1,0,0
2,'ja por ahora no me enoja � , he trabajar con gente que aparecí � a cada TM_min:30 a decir : \" este no me gustar \" , \" esta � todo mal \" , \" no ir a entregar as � \" , \" as � no \" ',0,6,2,6,5,4,0,2,5,18,1,0
1,'jajay perdoné como q reinen entrar estar medio perder ',0,1,0,1,4,0,2,1,0,0,0,0
6,'vos � el agrega � , pero porque le decir que estar lindo ',1,0,1,2,2,1,3,0,0,3,0,0
3,'joya ',0,0,0,1,0,0,0,0,0,0,0,0
6,'el diferencia ser q el otro vez lo hacer por el chata de el drive y ahora nos pedir q lo hacer por a ',0,1,5,5,4,3,3,0,3,0,0,0
6,'el idea de dB ser , a el recibir uno problema , ser buscar solución a problema similar y brindar talcoso respuesta ',1,0,3,6,5,0,2,0,3,2,0,0
3,'listo nos ver ',0,0,0,0,1,1,0,1,0,0,0,0
3,'listo , nos ver ',0,0,0,0,1,1,0,1,0,1,0,0
4,'machina clearing ser uno mundo gigante chico , tratar de recordar el que hacer en el trabajo pasar y ir a ver que esta � n generalizar mal ',2,1,3,6,8,1,2,0,3,2,0,0
1,'me arrepentí � ',0,0,0,1,0,1,0,0,0,1,0,0
3,'me fijo , no te asegurar que quedar bien ? ',1,2,0,0,2,2,1,0,0,2,0,0
1,'me ir , adir ! ',0,0,0,0,2,1,0,0,0,2,0,0
1,'me ir ',0,0,0,0,1,1,0,0,0,0,0,0
1,'me ir ',0,0,0,0,1,1,0,0,0,0,0,0
1,'no decir nada ',0,1,0,0,1,1,0,0,0,0,0,0
1,'no me sonar en espay � olé , perdé � n ',0,1,0,4,1,1,0,0,1,3,0,0
6,'no se por qué � te mareá � segundo en decir \" le_pasa_la_misma_base_de_datos_mas_eso \" , osen , estar en uno definido � n ',0,1,1,6,2,2,0,1,3,7,0,0
5,'no todo el que haber en internet tener que ser cierto o reflejar el que nosotros aprender debatir ',1,1,3,1,6,3,2,0,1,0,0,0
6,'no , no podé � segundo porque ser algo de cada uno , a_menos_que ser uno hacer ( ? , ademe � segundo te esta � n leer todo ',0,2,3,7,3,3,2,0,1,8,0,0
1,'nos ver saludo ',0,0,0,1,1,1,0,0,0,0,0,0
1,'nos ver ',0,0,0,0,1,1,0,0,0,0,0,0
1,'perdoné recién llegar ',0,1,0,1,1,0,0,0,0,0,0,0
1,'perdoné , no pobre , pero haber q agregar ',1,1,0,1,2,0,2,0,0,2,0,0
1,'perdono ! ',0,0,0,1,0,0,0,0,0,1,0,0
1,'perdoné ',0,0,0,1,0,0,0,0,0,0,0,0
1,'perdoné ',0,0,0,1,0,0,0,0,0,0,0,0
3,'perfecto ',1,0,0,0,0,0,0,0,0,0,0,0
6,'pero si este usar razonamiento basar en caso el base de dato ya clasificar con que se corresponder cada hecho , entonces cuan querer consultar uno caso nuevo ya ir a tener el relaciona en el base de dato ',1,3,5,10,8,2,3,0,6,1,0,0
6,'por ahora no ! ',0,2,0,0,0,0,0,0,1,1,0,0
6,'por el que entendió ser como que el dB abstraer el problema resolver para ver si ser compatible con el que necesitar resolver , poder ser ? ',1,0,4,2,10,2,3,0,3,2,0,0
5,'porque por haber parte de uno soluciona , deducir el nuevo , y ser como uno definición recursivo después ',2,1,3,3,3,0,3,0,2,2,0,0
1,'si como que buscar entre el solución viejo , uno que servir onset parecer para solucionar uno nuevo . . y ese nuevo el guarda en el base para que servir a otro ',3,0,7,3,5,2,5,0,5,3,0,0
1,'si esta � activo significar que esta � en el ventana , si esta � medio opacar que ya ley � ',2,1,1,5,2,0,4,0,1,5,0,0
1,'si pi podar un_fi_car_lo con uno solo variable , y el resto poder ser que se instancia con el valor que esta guardar en el base ',1,1,4,4,6,2,4,0,3,1,0,0
1,'si te ene � o uno par , y te cambio el n � mero vas a ver algo similar en el que ya hacer ',2,1,3,5,2,4,3,0,2,3,0,0
1,'si yo leu ese y uno mas ',0,0,1,1,0,2,3,0,0,0,0,0
6,'sin el paréntesis ya no saber de que hablar ',0,2,1,1,2,1,0,0,2,0,0,0
6,'sotavente avisar de el nuevo grupo . ',1,1,1,1,1,0,0,0,1,1,0,0
5,'tener que arrancar saber ',0,0,0,0,3,0,1,0,0,0,0,0
6,'y retan ser cuando guardar este nuevo soluciona ',1,0,1,2,2,0,2,0,0,0,0,0
6,'yo en 10 me tener que ir . . ',0,0,0,0,2,2,1,0,1,2,1,0
6,'yo me ir a dormís m � ana trabajo ',0,0,0,4,1,2,0,0,1,1,0,0
8,'? ',0,0,0,0,0,0,0,0,0,1,0,0
6,'chico yo estar igual que renco , rendir con el ja . . hasta el 5 no creer que llegar ',0,2,2,2,4,1,2,1,2,3,1,0
10,'riego no hacer ese ',0,1,0,1,1,1,0,0,0,0,0,0
10,'esta � mal el 2 p � grafo , haber uno monté � n de cosa impla � citar que en el contexto ese no se notar ',2,1,3,8,3,2,1,0,2,5,0,0
6,'estar rendir uno final a ese hora ',0,0,2,2,2,0,0,0,1,0,0,0
