@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
tarea,'Cada uno lea, e investigue, que respuesta iría en cada incizo, es más si quieren hagan hojas nuevas y anoten lo más breve que puedan ahí sus respuestas.'
tarea,'Después cuando estemos todos lo mergeamos, y si nos desencontramos lo hacemos mediante comentarios para saber qué opina el otro.'
tarea,'De esa manera todos estamos haciendo un poco de cada incizo, y cooperamos para cada resultado.'
socio-emocional,'bue, nos vemos el 2 y 3'
socio-emocional,buenisimo
socio-emocional,'a los dos'
tarea,'Abajo no te aparece quién está conectado, te aparecen quienes ya leyeron lo último que se escribió'
tarea,'al trabajo anterior'
socio-emocional,buenisimo
socio-emocional,buenisimo
socio-emocional,'bueno yo sigo mañana'
tarea,'bueno, vayamos mirando los otros 2, y todo lo que encontremos del 3 genial.'
socio-emocional,'Nos vemos mañana'
socio-emocional,bueno
socio-emocional,'che, muy util los links de diego'
socio-emocional,'claro algo asi'
tarea,'como hoy ponele tipo 7 y media'
socio-emocional,Cool
socio-emocional,'dale dale, nos vemoss'
socio-emocional,'dale dale'
socio-emocional,'dale. saludos'
socio-emocional,dale
socio-emocional,dale
socio-emocional,'Disculpen la tardanza.'
tarea,'Estoy volviendo de la facu.'
tarea,'Me hicieron esperar más de costumbre Jaja'
socio-emocional,'disculpen q estuve desaparecido, es q tengo q reentregar el compilador en un rato ?'
tarea,'el mail no, ya lo tienen, los integrantes ya los puse'
tarea,'El Razonamiento Basado en Casos, es un paradigma de resolución de problemas con acercamientos de la inteligencia artificia.'
tarea,'eso entiendo yo'
tarea,'esta el 3 y despues el dos'
socio-emocional,'estan caratureandolo'
tarea,'estan los dominios de aplicacion en dibujitos'
tarea,'este seria el anteultimo trabajo no?'
tarea,'estoy buscando pero no encuentro una buena explicacion para las que dijo mateo. de donde las sacaste ?(mineria de datos y procesamiento de lenguaje )'
tarea,fin.
socio-emocional,genia-
socio-emocional,genial
socio-emocional,'hay cosas que siempre las digo en inglés, porque se pierden en las traducciones, mala mía (sigo enfermo y cansado jaja)'
socio-emocional,'Hey, chicos, sorry que cuelgue, ando con fiebre y anginas, pero vengo trabajando al palo igual, así que no se preocupen <3.'
socio-emocional,'Qué calorete eh'
socio-emocional,'hola gente, disculpen la tardansa'
socio-emocional,'jaj por ahora no me enojé, he trabajado con gente que aparecía cada 30 minutos a decir: \"esto no me gusta\", \"está todo mal\", \"no vamos a entregar así\", \"así no\"'
socio-emocional,'jaja perdon como q reicen entro estoy medio perdido'
tarea,'José la agregó, pero porque le dijimos que estaba linda'
socio-emocional,joya
tarea,'la diferencia es q la otra vez lo hicimos por el chat del drive y ahora nos piden q lo hagamos por ak'
tarea,'La idea de CBR es, al recibir un problema, es buscar soluciones a problemas similares y brindar tal como respuesta'
socio-emocional,'listo nos vemos'
socio-emocional,'listo, nos vemos'
tarea,'Machine learning es un mundo gigante chicos, traten de recordar lo que hicieron en el trabajo pasado y van a ver que están generalizando mal'
socio-emocional,'me arrepentí'
socio-emocional,'me fijo, no te aseguro que quede bien ?'
socio-emocional,'me fui, adio!'
socio-emocional,'me fui'
socio-emocional,'me fui'
socio-emocional,'No dije nada'
socio-emocional,'no me sonaba en español, perdón'
tarea,'No se por qué te mareás en decir \"LE PASA LA MISMA BASE DE DATOS MAS ESO\", osea, estamos en una definición'
tarea,'no todo lo que hay en internet tiene que ser cierto o reflejar lo que nosotros aprendimos debatiendo'
tarea,'no, no podés porque es algo de cada uno, a menos que seas un hacker (?, además te están leyendo todo'
socio-emocional,'nos vemos saludos'
socio-emocional,'nos vemos'
socio-emocional,'perdon recien llego'
socio-emocional,'perdon, no pobre, pero hay q agregar'
socio-emocional,Perdon!
socio-emocional,perdon
socio-emocional,perdon
socio-emocional,perfecto
tarea,'pero si estas usando razonamiento basado en casos la base de datos ya clasifica con que se corresponde cada hecho, entonces cuano quieras consultar un caso nuevo ya vas a tener la relacion en la base de datos'
tarea,'por ahora no!'
tarea,'por lo que entendi es como que el RBC abstrae los problemas resueltos para ver si son compatibles con el que necesita resolver, puede ser?'
tarea,'porque por hay parte de una solucion, deduce las nuevas, y es como una definicion recursiva despues'
socio-emocional,'si como que busca entre las soluciones viejas, una que sirva o sea parecida para solucionar una nueva..y esa nueva la guarda en la base para que sirva a otras'
socio-emocional,'Si está activa significa que está en la ventana, si está media opaca que ya leyó'
socio-emocional,'si pq podes unficarlo con una sola variable, y el resto puede ser que se instancie con los valores que estan guardados en la base'
socio-emocional,'si te enseño un par, y te cambio los números vas a ver algo similar en las que ya hiciste'
socio-emocional,'si yo lei esos y uno mas'
tarea,'sin los parentesis ya no sabes de que habla'
tarea,'solamente avisaron del nuevo grupo.'
tarea,'tiene que arrancar sabiendo'
tarea,'y retain es cuando guardamos esta nueva solucion'
tarea,'yo en 10 me tengo que ir..'
tarea,'yo me voy a dormri mañana trabajo'
tarea,'?'
tarea,'chicos yo estoy igual que renzo, rindo con el jaj..hasta las 5 no creo que llegue'
socio-emocional,'Diego no hagas eso'
socio-emocional,'está mal el segundo párrafo, hay un montón de cosas implícitas que en el contexto ese no se notan'
tarea,'Estoy rindiendo un final a esa hora'
socio-emocional,'Gracias por copypastearme la definición de una palabra que ya sabía, no era necesario'
tarea,'hay redundancia'
tarea,'Jaja no nos sirve java'
tarea,'justo en ese horario no puedo doy clases..'
tarea,'leiste lo que pusieron??'
socio-emocional,'q participemos todos es mas facil si estamos todos y lo terminamos de una'
tarea,'mas tarde puedo, pero pensaba estudiar, mañana tengo un final'
socio-emocional,'me gustaba mas antes'
socio-emocional,naa
socio-emocional,'nadie se quedó de brazos cruzados.'
socio-emocional,'No agregen palabras a la definición que pueden confundir'
socio-emocional,'no chabón'
socio-emocional,'no estarías ayudando a mi dolor de cabeza JAJAJ'
socio-emocional,'no estoy hablando de pasar nada'
socio-emocional,'no man, es una locura, tenés idea de lo que es? no es algo fácil, por qué te creés que no encontramos nada? jaja'
socio-emocional,'No me hagas quedar como un ortiba, vos sabés que no está bien mover todo así como si nada, vos mismo pediste perdón después del paste jaja ?'
socio-emocional,'No me metería en eso'
socio-emocional,'no me parece lo del modelo de negocios'
socio-emocional,'no no banca que ya paamos al 2'
socio-emocional,'no no comparemos mas'
socio-emocional,'no no recien prendo la pc'
socio-emocional,'no pará, no necesariamente'
socio-emocional,'no puedo directamente, entro a trabajar a las 9, a las 5 estoy en el campus, tambien llego a casa tardisimo y el sabado me levanto temprano'
socio-emocional,'no seas cabeza'
socio-emocional,'no te enojes jaja'
socio-emocional,'No te la van a dar, creo que no entendés el propósito de los trabajos'
tarea,'no vi que dejaran nada todavia'
tarea,'no, estamos mateo, juan, diego y yo'
socio-emocional,'no, nada de aplicaciones JAJAJ'
socio-emocional,'no, no hay nadie jaja'
socio-emocional,'No, no pueden generalizar así jaja'
socio-emocional,'no, todo bien, pero me rompí el lomo leyendo papers, y artículos para poder liquidarlo hoy, estoy con fiebre, anginas, y mañana tengo que dejar todo listo para viajar a la noche'
socio-emocional,no
socio-emocional,no
socio-emocional,no
socio-emocional,no
socio-emocional,'Para mi no'
socio-emocional,'pero no podemos copypastearla'
socio-emocional,'porque para volver a pensar en como traducirlo como ya lo tenemos no tiene sentido'
socio-emocional,'Sí, pero no podés hacer eso chabón, not cool.'
tarea,'si. me parece q está medio pobre'
socio-emocional,Sí
socio-emocional,'todo bien, pero no, no vuelvas a hacer eso'
socio-emocional,'wtf, no, no seas villero'
tarea,'yo estoy cocinando ?'
tarea,'yo mañana tengo que ir a la facultad a las 14hs a hablar con los de operativa por el tema del trabajo, y despues viajaria, el tema es que no se cuanto demorare en la facu para saber cuando viajar'
tarea,'Yo no puedo mandarlo estoy saliendo en viaje'
tarea,'Yo tengo que ir a operativa a la defensa y hasta las 5 capaz no me desocupo'
tarea,'A qué se refieren con el aprendizaje de máquinas?'
tarea,'No entiendo, me suena SUPER redundante'
tarea,'aaa, habia una clasificacion, pero no se si incluirlo o no'
tarea,'adaptar el qué?'
tarea,'alguien puede aportar la 3 partiendo de lo que dice el link ese? en el 5.1'
tarea,'alguien se ofrece?'
tarea,'alguien tiene ganas de probar esto? acá en linux no tengo el swi prolog'
tarea,'aprendizaje de las máquinas? no entendí'
socio-emocional,'bueno no se'
tarea,'bueno pero me refiero a q esa parte nose si es importante'
tarea,'che en la uno agregamos lo de las fases no?'
tarea,'che estuvo bien la entrega? el asunto del mail y el titulo del trabajo eran asi?'
tarea,'che, que onda con la uno? parece q no estan todos de acuerdo en qué poner?'
tarea,'che, y yo diria que saquemos esa ultima, porque total ya tenemos 3, y dudo mucho que la ultima este bien'
tarea,'código no vamos a encontrar, dudo que exxista públicamente'
tarea,'comparacion de casos, se refiere al momento que buscas un caso similar que te permite resolver el problema actual?'
tarea,'confirmo que me llego la invitación.'
socio-emocional,'Si creo que puedo mañana a esa hora'
tarea,'creo q era una asociacion muy rapida o algo de eso'
tarea,'creo q somos 3'
tarea,'creo que mañana a la tarde tengo que viajar, todavia no se la hora, pero les aviso'
tarea,'de que hablan??'
tarea,'de qué hablás?'
tarea,'decis por ejemplo \"not (...), fail?'
tarea,'Depende del programa'
tarea,'el 3 está difícil, aparentemente es alto quilombo, pero yo se que prolog puede, pero no se como escribirlo'
socio-emocional,'el tema es q no le veo el enfoq'
tarea,'era a modo de comentario creo'
tarea,'estaba pensado, se refiere a ejemplos asi cotidianos en la pregunta, porque como dicen en que aplicaciones me hizo dudar'
tarea,'estamos todos?? o quedo de antes esto'
tarea,'googleando... ajaja'
tarea,'igual me da la sensacion que no esta contestado del todo si se puede con prolog jaaja'
tarea,'igual no se si quedo mal lo del doc'
tarea,'lo de que se puede implementar en sql y eso nose si hace falta'
tarea,'lo esta arreglando creo'
tarea,'lo que pasa es que no entiendo si hace lo de casos similares o no'
socio-emocional,'mmm, no se'
socio-emocional,'ni idea cuantos eran'
socio-emocional,'ni idea'
tarea,'no entendí nada de lo que dijiste jaja'
tarea,'no entendi'
tarea,'No entiendo a qué se refieren con el comentario de que se observó comportamiento colaborativo, en el gdoc los de exploratoria.'
tarea,'Se supone que eso esté bien, o está mal?'
tarea,'no entiendo a qué se refieren conque \'lee\' una base de datos'
tarea,'no entiendo nada la verdad'
tarea,'no lo entendi igual'
tarea,'no se decidan ustedes como hacemos'
tarea,'No se por qué querés agregarle \"base de datos\" directamente jaja'
tarea,'no se que quisieron poner'
socio-emocional,'No se si estara bien, pero algo hay q poner jaja'
socio-emocional,'no se'
tarea,'no si si me decis a mi o a bruno?'
tarea,'nose si bruno termino de acomodarlo'
tarea,'o no?'
tarea,'para mi no da poner codigo'
tarea,'pasa que prolog hace matching de palabras especificas (no me acuerdo como se llamas) por ahi primero habria que abstraer el problema para despues poder tratarlo..'
tarea,'pero diego ahi en eso del nene, cual es el problema?'
tarea,'y no seria un conocimiento que se adquiere por la memoria de habito?'
tarea,'pero estos deben ser del mismo ambito?'
tarea,'pero no creo que haga falta'
tarea,'q es una base de datos q anda bien si no se utilizan indices'
tarea,'que seria lo q dice el pdf que pasaste'
socio-emocional,'realmente no se jaja'
tarea,'si mucho tampoco especifiquemos pq capaz lo que dije no esta bien jaj'
socio-emocional,'si puede ser..'
socio-emocional,'si, no sé si hacía falta'
tarea,'tambien estaban los pasos del razonamiento basado en casos pero no se si da ponerlos, sino solo numerarlos'
tarea,'uhm, no sé eh'
tarea,'Uhm... no estoy seguro de eso'
socio-emocional,'y con respecto al 3 no tengo idea jaja'
tarea,'y de la 3 nose'
socio-emocional,'y la de educacion a distancia mucho no me cierra tampoco'
tarea,'y nose si mandarlo ya'
tarea,'ya meternos a detallar no se si suma'
socio-emocional,'Yo creo que también'
tarea,'yo tampoco entendi'
tarea,'a mi me gustaria cerrar el uno con eso'
socio-emocional,'analogia me suena raro tambien'
socio-emocional,'Analogías me parece erróneo'
socio-emocional,'Bueno man, ya te dije que no podes imaginarte que por hacer un copypaste se va a cambiar todo el formato'
socio-emocional,'Chabón, bancá un toque, me parece que te estás mareando'
tarea,'Diego, alguna vez usaste prolog?'
tarea,'Lo que hacés en prolog orientado en AI en 20 líneas, en otro programa no orientado a lógica te lleva 10k de líneas'
socio-emocional,'Dije que me parecía erróneo, me hacía ruido, qué se yo, estaba opinando'
socio-emocional,'Eddie, no te estoy retando, sólo te estoy diciendo que dejen los detalles para después, la nota del trabajo es individual y está todo loggeado, acá nadie perjudica al resto'
tarea,'es copy & paste poner eso'
tarea,'está medio al pedo eso de abajo'
tarea,'Hubieron 5 minutos de ediciones innecesarias, y habíamos acordado que ibamos a darle \"estilos\" antes de entregar para que no pasen estas cosas'
tarea,'Jaja, estás bastante errado si confiás ciegamente en wikipedia, sobre todo en español, pero ese es otro tema'
tarea,'la de wikipedia esta bien'
socio-emocional,'lo digo enserio jaja'
