@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,'Enzo Sipitria','cabria q usar el chata de han_g_out_s para coordinar bien uno momento q estar todo , yo si ser por ese chata pueden cualquiera momento xi entrar de el cela ',0,1,5,7,6,4,2,0,4,1,0,0
?,'Juan Cruz ','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
?,'Enzo ','yolas ',0,0,0,1,0,0,0,0,0,0,0,0
?,'Juan Cruz ','ya rendir ? ',0,1,0,0,1,0,0,0,0,1,0,0
?,'Enzo ','miss a el 16 terminar ',0,0,1,1,1,0,0,0,1,0,1,0
?,'Enzo ','calcular q me ser bien pero ir a esperar el nota ',0,1,1,1,4,1,2,0,1,0,0,0
?,'Juan Cruz ','joya ! ',0,0,0,1,0,0,0,0,0,1,0,0
?,'Enzo ','abra q esperar uno ratio por si aparecer el demos ',0,0,2,3,2,0,2,0,1,0,0,0
?,'Enzo ','peíste algo de loba preguntar el t ? ? ? ',0,1,1,3,1,0,0,0,1,3,0,0
?,'Juan Cruz ','si si leu ',0,0,0,1,0,0,2,0,0,0,0,0
?,'Juan Cruz ','te hacer uno consulta igual ',1,0,1,1,1,1,0,0,0,0,0,0
?,'Juan Cruz ','vos q el este cursar ',0,0,1,0,1,2,1,0,0,0,0,0
?,'Enzo ','si ',0,0,0,0,0,0,1,0,0,0,0,0
?,'Juan Cruz ','me explicar uno toque como ser el forma de trabajo ? ',0,0,2,3,2,1,1,0,1,1,0,0
?,'Enzo ','mm por lo q entendió ser 5 t de este tipo ',0,0,1,3,1,2,0,1,2,0,1,0
?,'Juan Cruz ','ellos ir a estar siempre guardar el que hablar y como editar ? ',0,1,1,0,5,2,2,0,1,1,0,0
?,'Enzo ','investigación y volcar ese a el dock ',0,0,1,2,1,1,1,0,1,0,0,0
?,'Enzo ','el idea ser que se trabajar en colaboración ',0,0,1,2,2,1,1,0,1,0,0,0
?,'Enzo ','y ir a ser 4 de el t el grupo a el . azar y dopo creer q en el ultimar el . grupo el ir a armar en base a el lista q mandar de conocido y ese ',0,0,7,7,7,2,4,1,8,2,1,0
?,'Enzo ','ese ser todo el q se ',0,0,1,0,1,4,0,0,0,0,0,0
?,'Juan Cruz ','ah este bien osen con este grupo solo este trabajo n1 ? ',1,1,2,2,1,1,0,1,1,1,1,0
?,'Enzo ','se suponer q si ',0,0,0,0,1,1,2,0,0,0,0,0
?,'Enzo ','y hoy aclararon . ',0,1,0,1,0,0,1,0,0,1,0,0
